"NDAI4","SD4","CORR4","DF4","CF4","BF4","AF4","AN4"
0.10275001,1.9649854,0.1228481,288.92255,273.41824,259.79236,239.91466,225.8866
1.186877,1.455194,0.12703021,242.19287,229.58568,216.99052,202.01363,193.12477
-1.1612041,1.1198999,0.13399412,298.11484,282.28781,263.83099,243.75822,227.65666
-0.57376188,0.58865809,0.083535612,272.16833,267.164,258.76886,246.36636,230.60677
-1.0449017,0.57203132,0.13146333,290.86118,277.76511,259.19992,237.11386,221.80222
0.23584254,2.5408463,0.17073826,315.08337,291.47287,266.72089,244.0448,222.81609
-0.81744015,0.60911161,0.13609505,306.83029,295.33572,268.99667,247.44044,232.88739
-0.85757732,2.0514481,0.1352112,292.60718,285.47876,266.28979,245.2104,231.08119
0.79248345,1.4523063,0.091365211,273.59161,267.90332,254.43881,242.03392,227.44714
-0.69130599,0.61285353,0.12770341,287.50168,276.22385,259.90073,237.8243,222.48375
-0.9420222,1.2945215,0.14528982,298.1076,286.63712,267.06525,240.06879,221.79018
-0.96280152,0.84898257,0.13538677,287.80753,279.4509,261.62985,235.87843,220.54752
-0.90040189,2.4777329,0.11218424,282.02051,275.74701,261.45645,241.77142,229.26297
-0.87273598,1.275385,0.14933811,308.11389,288.91772,267.3085,241.80515,223.55301
0.93332297,1.7119009,0.10932962,283.68219,276.31537,260.44019,245.31636,228.16481
0.84323585,0.6524924,0.1129696,238.77315,227.27617,215.73102,205.87405,195.74013
1.0428509,0.46074629,0.15361214,265.32169,247.91005,228.34061,209.65259,195.9328
-0.059498094,3.003094,0.13382061,294.22552,282.62979,265.54565,242.33977,226.40437
-1.0067023,2.2039371,0.12259392,299.05405,289.45477,266.90152,245.45123,230.88132
-0.82114929,1.2966149,0.10511879,280.84286,270.53796,258.5256,238.38301,227.06183
-0.99245387,1.5820678,0.166557,313.70102,291.64145,271.64816,244.41327,223.8998
0.10557625,0.78513199,0.090964124,268.54153,262.79544,254.57849,236.5985,224.03706
-0.76102614,2.8018181,0.1668454,307.10242,306.92661,270.42236,243.515,226.48625
1.2019557,0.66405451,0.18515339,291.60532,271.90344,242.92737,217.76358,199.86546
1.3834063,1.82265,0.13681597,299.44418,277.24734,261.02539,244.58185,227.83969
-0.94906241,1.1394434,0.13802233,303.48523,287.92792,269.24231,244.15318,228.09979
-0.51736116,0.62389582,0.13449644,297.28159,288.01944,269.76733,244.9503,226.98958
-0.87084138,0.72875863,0.13008957,290.30005,278.43942,259.86218,237.30412,221.742
0.18031803,3.2051501,0.11748113,288.72266,280.99219,268.13934,247.26222,228.36951
0.79782671,4.1822925,0.10275645,286.64194,279.00055,266.70404,245.02014,229.2148
1.112763,0.92718589,0.11272885,240.32648,228.82707,215.74547,205.61877,195.97614
2.1833756,8.3098917,0.18395276,263.63593,248.50008,217.66002,210.0379,177.09546
-0.63512921,3.2975771,0.13958722,294.23996,283.16443,264.78226,239.53175,222.41391
-1.0578263,2.5134931,0.13735949,301.66217,279.58093,262.07297,243.02612,227.61813
1.1473488,0.92800117,0.16919105,281.36304,263.68649,238.79723,216.52092,200.53496
1.0695782,0.83032084,0.12557302,246.41934,233.75435,219.67813,206.60133,195.50171
-1.1379641,2.4684148,0.13272971,296.11118,285.40649,267.66974,244.1893,226.9366
-1.1696823,0.63217306,0.13894209,294.1701,282.9549,263.33728,238.5251,223.09303
-0.66466391,1.3134074,0.12973648,297.21896,286.45407,269.64932,244.93826,229.63866
-1.042136,0.72481847,0.13496959,301.21185,282.61774,262.66541,238.13496,222.56081
-0.61763364,1.8464216,0.089322902,275.50137,274.76202,268.13452,251.15155,230.76572
-0.96575832,0.9975518,0.14139549,290.18927,278.42981,262.03925,235.97717,220.27779
-0.95679873,0.9721694,0.14082894,300.94211,286.49261,268.58969,243.91957,226.85231
-0.23300952,1.3901281,0.11100326,282.25891,268.51984,257.63696,239.3439,226.31528
-1.2787755,1.6730742,0.15419002,309.70093,287.2753,265.83466,245.53551,226.74394
-0.53886288,2.4205172,0.14202571,295.00098,284.2674,267.26755,240.52153,222.84016
-0.83473349,1.0735856,0.085212506,273.27374,266.31873,258.40039,245.66556,230.13475
-1.1777986,0.74649692,0.12398853,285.61121,280.94882,262.19577,236.52144,223.04727
-0.93382257,0.94573271,0.11968963,295.39349,289.30786,267.02191,246.31097,232.5695
-0.85532057,2.0683315,0.16449305,310.72684,293.8161,273.39655,243.79675,223.35072
0.9388932,0.38112646,0.17989044,289.46201,270.73303,242.62154,217.98996,201.12738
-0.96080643,2.2716076,0.10340192,276.75607,266.99301,253.14076,238.54436,226.27193
-1.1998048,1.6043198,0.16932914,317.35193,296.39774,272.01422,246.61682,224.66562
-1.1327505,0.60449398,0.11582146,291.67999,279.61465,262.23431,243.36087,230.4984
-1.0167863,2.0448635,0.14005527,292.48193,279.72784,262.21024,237.62442,220.67033
-0.15291786,1.7228256,0.14378142,302.56046,281.09814,260.55334,243.7197,226.60426
