"NDAI4","SD4","CORR4","DF4","CF4","BF4","AF4","AN4"
1.6174279,10.778577,0.24570894,248.69754,220.30428,184.66219,163.45995,142.52022
-0.63617402,1.9926569,0.14370993,293.59454,275.55435,258.87241,236.2204,217.61667
2.9433131,8.3037167,0.22581755,300.41229,249.45132,224.22733,202.15572,190.13132
1.1603997,1.6585861,0.17352289,293.80167,273.83005,256.21368,231.257,209.14685
1.9764725,5.8597612,0.25902006,298.96735,266.90149,242.7588,213.60452,191.28006
2.2836065,3.6870062,0.24093898,337.93765,281.88324,242.9924,209.61888,205.29126
2.4438515,20.902018,0.22347835,340.0545,280.9079,255.42619,231.51709,215.27585
0.87047517,2.8124976,0.20094498,216.21748,187.31848,172.61612,155.73428,139.75797
-0.38627893,1.4363817,0.12159419,283.52567,271.06778,258.09454,237.84598,221.23146
1.9407797,3.5823324,0.34831378,299.7139,249.06119,183.77835,147.45473,146.04108
-0.54383588,2.5049744,0.13841484,274.48026,259.86218,249.19365,228.06125,209.19743
0.95201313,2.1829953,0.0903906,179.49408,160.28348,161.85606,165.53105,157.46341
2.7917123,8.1732264,0.2508823,303.38889,264.08145,224.27307,197.47166,178.84866
2.2226737,3.3233349,0.13260348,254.00291,224.81012,225.34956,213.19031,198.62762
-0.60533291,0.89548755,0.1171272,278.51648,262.36194,253.22025,237.17166,220.22963
0.92674893,2.4007871,0.12685992,237.55698,229.22685,216.61725,203.89206,196.86478
0.52861279,1.0190763,0.12592717,271.77582,257.28296,247.19238,228.50677,211.92357
0.48894888,1.9687684,0.12670763,280.58276,264.11755,252.6543,235.05963,217.03387
1.0475593,1.36813,0.13152152,272.62109,255.69833,246.80466,230.87891,215.05188
-0.80173314,1.494368,0.11664434,265.82742,253.63446,244.52405,227.87582,211.02771
-0.45942014,1.087184,0.12486723,285.89297,272.23337,259.9826,240.06879,222.0623
1.159322,3.6011951,0.18123139,166.92784,122.18737,119.3071,108.40977,108.14246
0.87310058,3.5844083,0.14441432,285.17047,275.84814,257.19144,233.9133,214.38962
-0.52908981,0.89765906,0.16071048,292.02194,274.42245,258.78571,233.91571,211.88263
0.80128646,1.0552677,0.13270782,282.79114,267.23145,257.18903,237.60756,217.51312
1.7391125,1.5997319,0.105451,261.91162,239.7509,225.63855,217.75395,216.79065
0.73339796,3.3472948,0.16860487,233.32327,238.14459,211.05179,204.18105,187.50633
0.13817586,3.5496097,0.1132906,277.64471,272.61386,252.22563,233.96387,217.72745
1.8956378,22.830444,0.31829929,267.93463,199.68002,158.49173,140.69476,134.14433
0.66232193,3.8670022,0.15337597,226.39957,210.57977,202.85892,182.45381,171.07002
0.41156355,1.7094475,0.11511448,279.422,265.7865,256.18478,237.76169,221.90576
1.062704,1.8710338,0.11646927,229.23166,184.68146,177.52654,187.6436,177.84683
1.554105,3.5708621,0.11082858,176.87631,158.67476,164.00421,147.73167,140.77184
1.5556829,4.6492052,0.20183457,243.65948,188.95128,175.32539,160.54356,152.07375
1.7185622,5.7469411,0.13469727,257.53824,262.1741,249.34537,231.26181,206.02336
1.2113475,2.5032303,0.15156589,277.26419,262.07056,247.7222,225.27972,204.56155
1.0318099,10.677097,0.13218503,225.82158,168.15123,173.62518,169.73586,163.37807
-0.19131741,1.4457546,0.12873095,283.75684,266.06345,254.47495,236.8056,219.12183
2.4154365,12.367817,0.29108781,290.55292,252.37976,215.21565,178.22975,157.65607
-0.086523265,1.675506,0.1094422,274.62234,260.02835,252.24249,236.67796,219.67813
0.93306029,4.7990394,0.1186659,244.67096,214.08859,190.2132,189.55815,189.1319
1.7066725,10.486307,0.22905488,282.97656,212.1066,185.56287,171.63115,166.10181
1.75207,4.2327561,0.16106249,231.97226,217.60945,206.56281,188.36125,177.24718
-0.98503,1.7875375,0.15328611,305.04337,285.46429,268.20197,245.35008,223.75531
0.53997761,1.4846708,0.15932037,297.73672,276.78256,262.71597,238.29872,217.81656
0.26853856,1.8568929,0.12165449,285.34628,268.49094,255.37804,240.72142,223.03764
2.2206619,13.72713,0.42971858,295.03467,258.3811,155.12982,127.45903,123.94539
1.069222,2.9376812,0.25563341,334.98032,292.33261,248.04008,214.56061,202.71924
0.68617135,1.7480716,0.16694237,287.70157,269.57227,249.83183,226.25024,206.08357
-0.65484709,1.5563478,0.10733694,267.77811,255.84041,247.43321,231.61824,215.95258
0.091871567,2.3044956,0.17930186,307.37454,288.75638,267.96835,238.2915,212.16922
0.90252137,3.7041605,0.22121418,258.37631,231.25941,206.5291,195.23682,166.64125
2.3628559,2.9347856,0.19258159,259.66953,240.30238,213.04341,189.63763,180.3466
-0.045369357,2.028218,0.12552445,274.71387,261.21323,250.53986,231.05229,214.616
1.6896626,29.964642,0.26898915,218.92917,184.07698,141.01025,127.00146,114.37501
-0.61717194,1.3526071,0.1056407,277.729,267.31573,258.22458,240.63472,223.60599
0.15982109,3.9492898,0.11816238,283.14273,267.85516,253.60074,240.00136,223.97687
1.5446322,4.7465234,0.077859953,210.30763,181.36288,199.15262,196.58783,186.16493
1.7007964,35.575706,0.38678944,275.83371,255.91266,159.83795,130.26945,112.85781
1.4264802,6.501009,0.11461944,176.69087,172.86658,166.25835,157.16238,155.48865
0.34233335,1.1809181,0.11030703,272.48383,259.36368,247.70775,231.55322,218.96529
0.67781544,6.6819882,0.21448223,314.31995,274.85837,234.6165,208.7784,192.91045
-0.0044696401,2.0116012,0.11542317,279.67487,258.60989,250.42186,235.45457,220.18387
1.0348068,1.3988432,0.16951053,295.19604,270.314,249.591,227.76985,209.16853
2.723443,25.283346,0.20637663,343.95105,251.61394,238.92728,213.03618,198.91422
1.7463346,10.774427,0.13106522,167.4408,164.44974,168.60638,145.38364,130.21887
-0.021968286,1.1452368,0.11105866,270.44403,256.22574,244.61316,227.61813,213.74181
0.16369921,4.2480793,0.13102075,269.9913,254.8434,244.57462,226.59222,207.77174
1.5899249,2.325865,0.059673,264.70038,243.99905,244.03036,245.83173,239.86409
-0.18284391,2.7638285,0.13107084,278.1384,261.63708,248.49043,229.17386,212.21979
-0.32678747,0.46072227,0.13986754,283.85318,268.1225,256.12219,234.15654,214.11989
2.1260417,2.4671638,0.099712081,273.14368,251.89571,239.70514,233.8266,223.63971
2.487803,14.689429,0.29115358,297.09613,234.50813,215.61783,148.06642,161.57188
-0.29121593,1.7769634,0.12091017,277.98428,267.62158,256.34134,236.75262,218.23318
1.4664249,2.9378214,0.22724801,309.92972,295.87997,260.81827,220.29465,201.16592
1.4024568,7.9445896,0.15574443,160.52188,147.10312,142.32274,127.13873,121.24333
1.8869499,7.2250061,0.17671145,262.24155,233.48463,239.20422,221.22423,183.54475
1.5481511,1.1823819,0.15323056,314.08392,293.32001,277.6134,253.28044,227.89267
1.1441998,2.5321183,0.2617389,282.93323,256.86392,211.1722,196.79736,169.30478
0.64478505,8.2412224,0.1640541,236.18428,211.22758,205.73918,196.51559,177.66862
0.73775733,2.2429583,0.11768568,279.50146,267.8335,255.08182,233.57375,220.15497
-0.088806227,1.794137,0.18059941,309.06033,290.10739,269.91663,238.73221,215.27826
1.2889223,6.830049,0.11407363,185.0162,188.45277,184.08179,172.79433,162.10652
-0.82748145,1.2875462,0.12423531,284.67197,272.05997,258.35703,238.70572,221.64085
1.2996635,6.0818739,0.24884887,325.02701,268.0069,226.58499,203.25629,194.42282
-0.94118041,4.4873886,0.14947481,288.69376,274.37912,255.76335,233.75435,216.47516
0.70396608,1.6263855,0.15793748,285.39685,265.74072,251.04077,228.29004,207.68024
0.18427885,1.6470814,0.11764621,275.36169,263.96826,254.12573,234.65022,217.6528
1.1350647,4.2298155,0.26949596,334.37585,277.12451,229.68922,202.2135,185.39429
-0.60045379,1.6079775,0.11228751,278.52853,270.49701,258.07047,240.6853,223.44223
1.9204575,5.2288141,0.22060774,174.25613,141.89407,113.05288,105.674,96.854988
0.62849444,2.5470943,0.11167277,275.93967,260.77011,251.71748,236.03738,222.62823
0.2128204,4.1035328,0.12016002,279.85309,264.77985,256.7363,239.05733,221.38077
1.5318283,5.359983,0.25908875,245.92805,183.16907,158.41949,146.47217,135.69043
-0.22908142,2.0365815,0.11383408,282.70685,267.8046,257.71402,240.55043,225.74933
1.7326958,8.0587339,0.17588912,228.18648,183.21242,170.85088,159.63565,161.12877
1.1405792,4.4044542,0.068475336,160.56764,147.86894,154.45068,153.0804,148.23981
