"label","NDAI","SD","CORR","DF","CF","BF","AF","AN"
1,0.92612231,0.5121026,0.079890043,221.26036,207.57668,198.46387,191.35953,185.58455
1,2.6891448,6.032176,0.17957968,252.44237,233.46054,215.63469,187.32811,178.42241
1,0.79909331,2.5289111,0.11972777,253.55499,240.69011,228.90895,211.64421,197.81123
1,1.5077771,8.253356,0.12555495,224.06837,197.77029,182.567,173.98401,169.98631
1,1.4258828,5.1588788,0.063040681,223.45427,212.1981,209.93436,201.44768,194.89001
1,1.1866263,2.6559668,0.13235772,248.57713,237.37636,222.73901,204.93242,191.87007
1,2.5447915,22.071487,0.29146153,215.76955,221.17366,215.39627,187.43649,175.81427
1,0.25435415,1.3837867,0.10352309,225.60243,210.71704,198.70468,186.0108,178.42723
1,1.7967272,3.2619159,0.056061119,243.73895,239.05492,233.42203,223.59877,216.31622
1,-0.40145159,1.4063017,0.12107032,268.54633,261.62503,237.2993,217.34937,204.54951
1,0.7344228,0.81418419,0.096156217,219.42767,207.55501,197.82327,188.48166,182.00589
1,1.1870695,0.47592819,0.078515314,220.23926,206.66154,197.90515,190.40826,185.70978
1,0.95588428,0.75551659,0.082704879,218.03571,210.87357,201.34172,190.11687,184.4912
1,-1.011976,4.102952,0.13439333,264.70758,251.56818,238.94894,219.94063,206.27141
1,1.6709319,7.3405781,0.041965082,214.46667,216.97127,210.61107,200.53978,193.23555
1,-0.56751817,2.9577966,0.15267175,278.01797,268.09119,249.71864,220.82928,204.41705
1,-0.86314821,4.6454177,0.18509121,289.36325,281.39676,254.89397,220.27298,202.11237
1,0.48345301,1.8800943,0.14887419,259.16379,244.5096,224.1647,204.99022,191.321
1,0.99343294,0.39236447,0.10497316,228.29004,212.92059,201.49585,190.4444,184.97766
1,-0.49641821,4.0598788,0.15052001,274.15515,255.08423,237.12109,219.19408,205.34904
1,0.62485731,0.70568287,0.087103814,218.33192,204.89389,196.42648,188.33958,183.04143
1,0.64383435,1.2877793,0.10045821,220.01288,212.33057,201.9221,187.45335,179.18102
1,-0.10461495,0.75977057,0.12299983,249.63194,239.55101,225.06058,206.85902,195.62695
1,1.101946,0.53482193,0.079052299,215.88995,207.32141,198.70709,191.67259,185.43523
1,0.6357283,0.73054487,0.11625729,228.75482,213.54192,202.43747,189.41125,182.82469
1,1.9965444,6.5852356,0.15356696,251.94627,240.24458,213.3324,193.76295,182.80542
1,2.3411362,13.693585,0.33746716,81.827515,53.598007,36.275467,28.759319,31.331329
0,0.27478454,0.9790768,0.092559054,253.06612,249.98114,245.21281,226.09372,211.10959
1,1.1239624,0.5857687,0.078498133,217.45291,206.33401,197.8329,190.83934,184.85484
1,0.93948793,2.6812785,0.13163839,215.88995,207.35994,199.06593,181.25691,172.25006
1,-0.75179243,1.8501714,0.16291764,280.26248,273.84448,248.42059,220.3717,204.67955
1,0.97147238,4.1615601,0.12173635,254.78801,215.2903,202.25446,189.78935,183.24854
1,2.0967042,4.6831012,0.16328086,273.25687,252.20395,233.01984,212.87242,195.84128
1,1.6360058,4.6487732,0.093789913,280.58517,275.33521,265.36987,247.15868,234.01685
1,-0.24283276,0.79218102,0.15580247,281.90009,268.08636,243.77991,216.59076,201.3369
1,1.4796809,5.9749179,0.14907905,271.41696,256.35095,238.36374,214.2668,200.09666
1,0.018452015,1.0299922,0.10107888,221.22664,213.0121,201.47899,186.78145,181.11964
1,0.36922869,1.7469287,0.12212276,225.46034,214.98686,200.42418,185.22331,177.90222
1,0.49042976,1.1556276,0.12930401,255.3371,242.35181,223.18936,206.269,194.66846
1,1.4646945,6.4366817,0.13712721,236.86823,230.02638,209.39491,191.68224,180.88364
1,2.3554192,9.7431297,0.23825277,295.51151,256.29315,208.82416,182.67056,176.202
1,0.4487167,1.0752647,0.11381754,230.02879,212.85797,202.15331,190.153,183.80003
1,1.0047618,2.9672961,0.11410248,217.70096,207.68745,190.11446,181.89029,177.06656
1,0.66040111,0.56240547,0.095757112,224.50186,212.24146,201.60904,190.98866,185.39429
0,-0.67938995,2.7944729,0.14977196,285.72198,272.17075,254.74225,229.89394,213.50339
1,-0.14723451,3.5243886,0.19002295,272.42361,256.63754,236.58405,212.18367,196.14713
1,1.9016187,13.584853,0.077859268,162.59781,178.19844,186.44188,184.17572,170.21991
1,0.66943991,1.0790273,0.087496184,220.15015,206.28827,194.73108,186.94038,181.96976
1,0.28800434,1.1003662,0.10773617,221.52045,213.50339,201.72223,187.88683,181.58444
1,-0.87693214,3.08899,0.16698167,279.75192,268.40186,245.43196,220.3091,204.40501
1,0.77726597,1.9638509,0.15199298,247.32726,232.24197,218.12,199.3212,187.06081
1,1.7981812,3.104229,0.098462597,220.47044,206.99147,196.10378,183.60977,177.87332
1,0.52041095,1.9426599,0.11771765,216.64856,206.66878,192.4601,181.29305,172.59204
1,-0.75018305,1.023912,0.19335277,295.45853,281.95789,253.98366,219.29523,200.53014
1,2.2805858,7.1784239,0.13393837,221.66013,203.69699,187.21974,171.15672,159.08897
1,-0.59399462,1.4244589,0.15924044,285.92188,274.53806,250.23401,219.90451,203.40318
1,2.2103848,1.3187033,0.17336862,288.63354,271.93475,249.20328,217.86473,202.66144
1,-0.37166974,5.1094747,0.1851209,292.65775,280.53461,247.71498,216.29214,199.48256
1,0.18642704,1.3452941,0.1120337,217.10612,206.93849,193.62569,180.25269,173.71669
